CNAPS号,银行名称,地址
************,************,************
"001199215009	","人民银行霍林郭勒市支行",""
"001199615003	","人民银行库伦旗支行",""
"001194315008	","中国人民银行巴林右旗支行",""
"001194815006	","中国人民银行宁城县支行",""
"001197415000	","中国人民银行陈巴尔虎旗支行",""
"001201015002	","中国人民银行锡林郭勒盟中心支行",""
"001201315005	","中国人民银行阿巴嘎旗支行",""
"001198415009	","中国人民银行扎赉特旗支行",""
"001199315007	","人民银行科尔沁左翼中旗支行",""
"001199815002	","人民银行扎鲁特旗支行",""
"001201415009	","中国人民银行苏尼特左旗支行",""
"001201515007	","中国人民银行苏尼特右旗支行",""
"001194415001	","中国人民银行林西县支行",""
"001194915000	","中国人民银行敖汉旗支行",""
"001196415006	","中国人民银行牙克石市支行",""
"001196715009	","中国人民银行额尔古纳市支行",""
"001197215002	","中国人民银行新巴尔虎右旗支行",""
"001194215007	","中国人民银行巴林左旗支行",""
"001196515000	","中国人民银行阿荣旗支行",""
"001196915008	","中国人民银行鄂伦春自治旗支行",""
"001197115004	","中国人民银行鄂温克族自治旗支行",""
"001199415008	","人民银行科尔沁左翼后旗支行",""
"001201615008	","中国人民银行东乌珠穆沁旗支行",""
"001201915004	","中国人民银行镶黄旗支行",""
"001203015009	","中国人民银行乌兰察布市中心支行",""
"001204315004	","中国人民银行察哈尔右翼中旗支行",""
"001204515006	","中国人民银行达尔罕茂明安联合旗支行",""
"001202215009	","中国人民银行正蓝旗支行",""
"001205215006	","人民银行内蒙古鄂尔多斯市达拉特旗支行",""
"001205315000	","人民银行内蒙古鄂尔多斯市准格尔旗支行",""
"001205515009	","人民银行内蒙古鄂尔多斯市鄂托克旗支行",""
"001205715008	","人民银行内蒙古鄂尔多斯市乌审旗支行",""
"001202115005	","中国人民银行正镶白旗支行",""
"001203615002	","中国人民银行化德县支行",""
"001204415002	","中国人民银行察哈尔右翼后旗支行",""
"001205815001	","人民银行内蒙古鄂尔多斯市伊金霍洛旗支行",""
"001207015005	","中国人民银行巴彦淖尔市中心支行",""
"001201815003	","中国人民银行太仆寺旗支行",""
"001202315007	","中国人民银行多伦县支行",""
"001203515004	","中国人民银行卓资县支行",""
"001204215003	","中国人民银行察哈尔右翼前旗支行",""
"001205015004	","中国人民银行鄂尔多斯市中心支行",""
"001205415005	","人民银行内蒙古鄂尔多斯市鄂托克前旗支行",""
"001207215007	","中国人民银行五原县支行",""
"001207315008	","中国人民银行磴口县支行",""
"001207415001	","中国人民银行乌拉特前旗支行",""
"001208015007	","中国人民银行阿拉善盟中心支行",""
"001203815000	","中国人民银行兴和县支行",""
"001205615007	","人民银行内蒙古鄂尔多斯市杭锦旗支行",""
"001207515003	","中国人民银行乌拉特中旗支行",""
"001207715002	","中国人民银行杭锦后旗支行",""
"001208215001	","中国人民银行阿拉善右旗支行",""
"001201715001	","中国人民银行西乌珠穆沁旗支行",""
"001203715006	","中国人民银行商都县支行",""
"001203915005	","中国人民银行丰镇市支行",""
"001204115001	","中国人民银行凉城县支行",""
"001204615000	","中国人民银行四子王旗支行",""
"001223121003	","中国人民银行台安县支行",""
"001224221009	","中国人民银行新宾县支行",""
"001229021011	","中国人民银行彰武县支行",""
"001233321005	","中国人民银行昌图县支行",""
"001233721004	","中国人民银行开原市支行",""
"001208315003	","中国人民银行额济纳旗支行",""
"001225021009	","中国人民银行本溪市中心支行营业室",""
"001225221006	","中国人民银行桓仁满族自治县支行",""
"001233021001	","中国人民银行铁岭市中心支行",""
"001234021009	","中国人民银行朝阳市中心支行",""
"001227221004	","中国人民银行凌海市支行",""
"001227721009	","中国人民银行兴城市支行",""
"001228021004	","中国人民银行营口市中心支行营业部",""
"001234221006	","中国人民银行建平县支行",""
"001234321007	","中国人民银行凌源市支行",""
"001221021047	","中国人民银行沈阳分行营业管理部康平县支行",""
"001223021000	","中国人民银行鞍山市中心支行",""
"001225121005	","中国人民银行本溪满族自治县支行",""
"001226521000	","中国人民银行岫岩县支行",""
"001227121008	","中国人民银行绥中县支行",""
"001222021016	","中国人民银行金州新区中心支行",""
"001273123000	","中国人民银行富锦市支行",""
"001275123008	","中国人民银行宁安市支行",""
"001275423001	","中国人民银行东宁县支行",""
"001276223001	","中国人民银行安达市支行",""
"001275223004	","中国人民银行海林市支行",""
"001276023004	","中国人民银行绥化市中心支行",""
"001276623005	","中国人民银行兰西县支行",""
"001379034006	","中国人民银行池州市中心支行",""
"001391035015	","中国人民银行长乐市支行",""
"001391035040	","中国人民银行连江县支行",""
"001395335001	","人民银行宁化县支行",""
"001395935003	","人民银行建宁县支行",""
"001401435002	","人行建阳市支行",""
"001402135004	","人民银行政和县支行",""
"001403235006	","中国人民银行福鼎市支行",""
"001403835001	","中国人民银行周宁县支行",""
"001405235007	","中国人民银行长汀县支行",""
"001401835009	","人民银行光泽县支行",""
"001405035003	","中国人民银行龙岩市中心支行",""
"001405735002	","中国人民银行连城县支行",""
"001421036006	","中国人民银行南昌中心支行",""
"001422036000	","中国人民银行景德镇市中心支行",""
"001403735008	","中国人民银行寿宁县支行",""
"001405635004	","中国人民银行漳平市支行",""
"001422136003	","中国人民银行乐平市支行",""
"001424036005	","中国人民银行九江市中心支行",""
"001424336006	","中国人民银行武宁县支行",""
"001401935007	","人民银行松溪县支行",""
"001403635007	","中国人民银行屏南县支行",""
"001421036014	","中国人民银行进贤县支行",""
"001421036022	","中国人民银行安义县支行",""
"001423036004	","中国人民银行萍乡市中心支行",""
"001424436001	","中国人民银行修水县支行",""
"001426036001	","中国人民银行新余市中心支行",""
"001424836008	","中国人民银行都昌县支行",""
