CNAPS号,银行名称,地址
************,************,************
"103631173833	","中国农业银行股份有限公司钦州大直分理处",""
"103631173850	","中国农业银行股份有限公司钦州大寺支行",""
"103631173868	","中国农业银行股份有限公司钦州平吉分理处",""
"103631173989	","中国农业银行股份有限公司钦州那丽分理处",""
"103603031214	","中国农业银行股份有限公司中山东区支行",""
"103603031255	","中国农业银行股份有限公司中山东明支行",""
"103603031417	","中国农业银行股份有限公司中山国际酒店支行",""
"103603031732	","中国农业银行股份有限公司中山小榄北苑支行",""
"103603031829	","中国农业银行股份有限公司中山古镇曹步支行",""
"103626160018	","中国农业银行股份有限公司百色分行",""
"103626160510	","中国农业银行广西百色分行营业室",""
"103626361413	","中国农业银行田东支行思林营业所",""
"103626663014	","中国农业银行广西百色市靖西县支行营业室",""
"103669062039	","中国农业银行股份有限公司重庆涪陵兴华路支行",""
"103669062071	","中国农业银行股份有限公司重庆涪陵顺江分理处",""
"103669566042	","中国农业银行股份有限公司重庆武隆鸭江分理处",""
"103684063318	","中国农业银行股份有限公司西昌支行北城分理处",""
"103684063463	","中国农业银行股份有限公司西昌支行一环路分理处",""
"103684264411	","中国农业银行四川省木里县支行",""
"103684563979	","中国农业银行股份有限公司会理县支行甸沙关分理处",""
"103684664119	","中国农业银行四川省会东县支行",""
"103666436829	","中国农业银行股份有限公司峨眉山符溪分理处",""
"103667042063	","中国农业银行股份有限公司重庆万州天城支行",""
"103653010033	","中国农业银行股份有限公司重庆巴南界石支行",""
"103651081446	","中国农业银行股份有限公司成都翡翠城支行",""
"103651081487	","中国农业银行成都蜀跃路支行",""
"103651081559	","农行成都龙腾支行",""
"103651081735	","中国农业银行股份有限公司成都新华小区支行",""
"103651081794	","中国农业银行股份有限公司成都站北支行",""
"103653013040	","中国农业银行股份有限公司重庆长寿凤城支行",""
"103653013082	","中国农业银行股份有限公司重庆长寿葛兰支行",""
"103653013154	","中国农业银行股份有限公司重庆长寿洪湖支行",""
"103653013179	","中国农业银行股份有限公司重庆长寿黄桷湾支行",""
"103653014034	","中国农业银行股份有限公司重庆江津石门支行",""
"103641061001	","中国农业银行股份有限公司儋州明珠分理处",""
"103641061905	","中国农业银行儋州八一糖厂分理处",""
"103651080488	","中国农业银行股份有限公司成都科技园支行",""
"103651080718	","农行成都芳草街分理处",""
