CNAPS号,银行名称,地址
************,************,************
"316290000043	","浙商银行股份有限公司上海陆家嘴支行",""
"320465300017	","山东荣成汇丰村镇银行有限责任公司",""
"320473000014	","临沂河东齐商村镇银行股份有限公司",""
"320473600002	","莒县金谷村镇银行股份有限公司",""
"320475600014	","巨野中银富登村镇银行",""
"320493302510	","新安融兴村镇银行有限责任公司",""
"322290024048	","上海农商银行中原支行",""
"322290024056	","上海农商银行国定路支行",""
"322290024089	","上海农商银行五角场支行",""
"322290026011	","上海农商银行张江科技支行",""
"322305263028	","上海农商银行昆山支行",""
"402100004757	","北京农村商业银行股份有限公司大兴支行长子营分理处",""
"402100005071	","北京农村商业银行股份有限公司阎村支行",""
"402100005356	","北京农村商业银行股份有限公司绿谷支行",""
"402100006164	","北京农村商业银行股份有限公司军博支行",""
"314311260361	","江苏滨海农村商业银行股份有限公司银海支行",""
"314311260388	","江苏滨海农村商业银行股份有限公司阜东支行",""
"314314100305	","江苏丹阳农村商业银行股份有限公司丹凤支行",""
"314314100356	","江苏丹阳农村商业银行股份有限公司练湖支行",""
"314314200419	","江苏吴江农村商业银行句容支行",""
"314314201075	","江苏句容农村商业银行股份有限公司下蜀支行",""
"314314201139	","江苏句容农村商业银行股份有限公司二圣支行",""
"314703925553	","贵州湄潭农村商业银行股份有限公司新南分理处",""
"314703925615	","贵州湄潭农村商业银行股份有限公司步行街分理处",""
"314704215006	","贵州仁怀茅台农村商业银行股份有限公司茅台支行长征路分理处",""
"314704226844	","贵州仁怀茅台农村商业银行股份有限公司盐津支行中枢分理处",""
"314405494507	","福建上杭农村商业银行股份有限公司官庄支行",""
"314565700042	","湖南江华农村商业银行股份有限公司界牌支行",""
"314826000215	","酒泉农村商业银行股份有限公司怀茂支行",""
"314826000303	","酒泉农村商业银行股份有限公司双塔分理处",""
"314826000346	","酒泉农村商业银行股份有限公司二墩分理处",""
"319363000113	","徽商银行股份有限公司蚌埠涂山东路支行",""
"320375600016	","安徽凤阳利民村镇银行有限责任公司",""
"320378300010	","无为徽银村镇银行有限责任公司",""
"320379400037	","安徽青阳九华村镇银行股份有限公司木镇支行",""
"320391000027	","福建平潭渝农商村镇银行有限责任公司",""
"320394245853	","福建仙游瑞狮村镇银行股份有限公司",""
"314301008207	","江苏溧水农村商业银行股份有限公司渔歌支行",""
"314301008282	","江苏溧水农村商业银行开发区支行",""
"314301009095	","江苏高淳农村商业银行股份有限公司凤山支行",""
"314302084805	","无锡农村商业银行股份有限公司查桥支行",""
"314302203207	","江苏江阴农村商业银行股份有限公司营业部",""
"314306202408	","江苏如皋农村商业银行股份有限公司石北支行",""
"314306202800	","江苏如皋农村商业银行股份有限公司长庄支行",""
"314306203909	","江苏如皋农村商业银行股份有限公司何庄支行",""
"314306204709	","江苏如皋农村商业银行股份有限公司场北支行",""
"314306205100	","江苏如皋农村商业银行股份有限公司清算中心",""
"314312400152	","江苏泰兴农村商业银行股份有限公司溪桥支行",""
"314312400232	","江苏泰兴农村商业银行股份有限公司马甸支行",""
"314312400345	","江苏泰兴农村商业银行股份有限公司南沙支行",""
"314312500014	","江苏江都农村商业银行股份有限公司营业部",""
"314312500127	","江苏江都农村商业银行股份有限公司东汇支行",""
"314707093222	","贵州兴义农村商业银行股份有限公司下五屯支行坝佑分理处",""
"314709073258	","贵州毕节农村商业银行股份有限公司小坝支行",""
"314709073395	","贵州毕节农村商业银行股份有限公司放珠支行",""
"314709073475	","贵州毕节农村商业银行股份有限公司阿市支行",""
"314711033055	","安顺农村商业银行股份有限公司西街支行",""
"320332400028	","余姚通济村镇银行股份有限公司阳明支行",""
"320333310016	","浙江乐清联合村镇银行股份有限公司",""
"314314300266	","江苏扬中农村商业银行股份有限公司城东支行",""
"314391011398	","福建福州农村商业银行股份有限公司洪塘分理处",""
"318100010145	","渤海银行股份有限公司北京中关村支行",""
"318110000071	","渤海银行股份有限公司天津广开支行",""
"318110000186	","渤海银行股份有限公司天津滨海新区分行",""
"320503400016	","禹州新民生村镇银行股份有限公司",""
"320624500029	","广西容县桂银村镇银行股份有限公司会堂支行",""
"320631400010	","灵山泰业村镇银行股份有限公司",""
"320641006702	","海口苏南村镇银行股份有限公司",""
"320651001015	","邛崃国民村镇银行有限责任公司",""
"314308400011	","张家港农村商业银行通州支行",""
"314308501058	","江苏涟水农村商业银行股份有限公司唐集支行",""
"314308501082	","江苏涟水农村商业银行股份有限公司时码支行",""
"314308501226	","江苏涟水农村商业银行股份有限公司成集支行",""
"314308501339	","江苏涟水农村商业银行股份有限公司中山支行",""
"314394043236	","福建莆田农村商业银行股份有限公司东吴分理处",""
"314394044149	","福建莆田农村商业银行股份有限公司华腾分理处",""
"314397071352	","泉州农村商业银行股份有限公司北门支行",""
"314397071481	","泉州农村商业银行股份有限公司玉霞支行",""
"314397071561	","泉州农村商业银行股份有限公司海峡支行",""
"318651000017	","渤海银行成都分行",""
"319301000038	","徽商银行股份有限公司南京江宁支行",""
"319361002054	","徽商银行股份有限公司合肥太湖路支行",""
"319361002118	","徽商银行股份有限公司合肥三孝口支行",""
"319361002206	","徽商银行股份有限公司合肥经济开发区支行",""
"320602000032	","东莞长安村镇银行股份有限公司厦边支行",""
"314653000749	","重庆农村商业银行股份有限公司江北支行郭家沱分理处",""
"314653001313	","重庆农村商业银行股份有限公司九龙坡支行广厦分理处",""
"314653001926	","重庆农村商业银行股份有限公司南岸支行骏逸蓝山分理处",""
"320139500019	","蔚县银泰村镇银行股份有限公司",""
"320142400018	","滦平盛阳村镇银行股份有限公司",""
"320208000157	","阿拉善左旗方大村镇银行股份有限公司老城支行",""
"320221000012	","沈阳新民富民村镇银行",""
"320222000047	","大连旅顺口蒙银村镇银行股份有限公司",""
"322290009057	","上海农商银行北崧分理处",""
"322290009145	","上海农商银行大盈支行",""
"322290009170	","上海农商银行盈中支行",""
"322290009207	","上海农商银行沈巷支行",""
"322290010050	","上海农商银行海桥分理处",""
"322290005195	","上海农商银行盐仓支行",""
"322290006075	","上海农商银行庄行支行",""
"322290006106	","上海农商银行金汇支行",""
"322290006202	","上海农商银行新寺支行",""
"322290006278	","上海农商银行大叶路支行",""
"402110012990	","天津农村商业银行股份有限公司宝坻欢喜庄分理处　",""
"402110013023	","天津农村商业银行股份有限公司宝坻北潭分理处　",""
"402110013066	","天津农村商业银行股份有限公司宝坻袁罗庄分理处　",""
"402110013111	","天津农村商业银行股份有限公司宝坻方家庄支行　",""
"402197400011	","陈巴尔虎旗农村信用合作联社",""
"402198080526	","内蒙古兴安盟科尔沁右翼前旗农村信用合作社联合社",""
"402224010305	","抚顺市顺城区农村信用合作联社会元信用社",""
"402224010707	","抚顺市顺城区农村信用合作联社新屯信用社",""
"402224010811	","抚顺市顺城区农村信用合作联社金村分社",""
"402224010900	","抚顺市顺城区农村信用合作联社辉南路信用社",""
"402224025013	","抚顺市顺城区农村信用合作联社营业部",""
"402136600190	","高碑店市农村信用合作联社东大街信用社",""
"402136600315	","高碑店市农村信用合作联社新城镇分社",""
"402221095090	","新民市农村信用合作联社姚堡信用社",""
"402221098105	","法库县农村信用合作联社冯贝堡信用社",""
"402221098156	","法库县农村信用合作联社秀水河子信用社",""
"402135700122	","顺平县农村信用联社股份有限公司蒲上信用社",""
"402135702458	","顺平县农村信用联社股份有限公司花园小区储蓄所",""
"402135800010	","唐县农村信用合作社联合社",""
"402135800077	","唐县农村信用合作联社王京信用社",""
"402135800165	","唐县农村信用合作联社唐尧分社",""
