CNAPS号,银行名称,地址
************,************,************
"402793401786	","扶风县农村信用合作联社西闸口分社",""
"402793401841	","扶风县农村信用合作联社建和信用社",""
"402793401868	","扶风县农村信用合作联社南阳信用社",""
"402797501575	","潼关县农村信用合作联社秦东信用社",""
"402798203943	","富平县农村信用合作联社底店信用社",""
"402799402346	","洋县农村信用合作联社秧田分社",""
"402799502453	","陕西西乡农村合作银行新桥分理处",""
"402799502599	","陕西西乡农村合作银行樱花分理处",""
"402804801469	","陕西甘泉农村合作银行劳山支行",""
"402804801485	","陕西甘泉农村合作银行桥镇分理处",""
"402804901605	","陕西富县农村合作银行城关支行",""
"402804901656	","陕西富县农村合作银行城区支行",""
"402805101693	","洛川县农村信用合作联社南大街储蓄所",""
"402821002256	","兰州市七里河区农村信用合作联社新桥分社",""
"402821002310	","兰州市七里河区农村信用合作联社融通分社",""
"402821002344	","兰州市七里河区农村信用合作联社阳光分社",""
"402821003021	","兰州市西固区农村信用合作联社柳泉信用社",""
"402821003097	","甘肃省兰州市西固区农村信用合作联社大坪分社",""
"402793000021	","宝鸡市金台区农村信用合作联社长寿信用社",""
"403468000231	","中国邮政储蓄银行股份有限公司德州市商贸城支行",""
"403469300038	","中国邮政储蓄银行股份有限公司宁津县支行",""
"403471601268	","中国邮政储蓄银行股份有限公司东阿县支行",""
"403473000019	","中国邮政储蓄银行股份有限公司临沂市市中支行",""
"403554401302	","中国邮政储蓄银行有限责任公司湖南省衡阳市衡东县北街支行",""
"403554501743	","中国邮政储蓄银行有限责任公司常宁市支行",""
"403554601947	","中国邮政储蓄银行湖南省衡阳市祁东县市场支行",""
"403554700639	","中国邮政储蓄银行湖南省衡阳市耒阳市五一路支行",""
"403554700825	","中国邮政储蓄银行有限责任公司湖南省衡阳市耒阳市南阳支行",""
"403589098003	","中国邮政储蓄银行股份有限公司江门市新会支行",""
"403589300023	","中国邮政储蓄银行股份有限公司恩平市支行",""
"403589400008	","中国邮政储蓄银行股份有限公司开平市支行",""
"403589500009	","中国邮政储蓄银行股份有限公司鹤山市支行",""
"403591100019	","中国邮政储蓄银行有限责任公司吴川市海港支行",""
"403541700227	","中国邮政储蓄银行来凤县凤翔大道支行",""
"403551000015	","中国邮政储蓄银行股份有限公司湖南省分行",""
"403551000242	","中国邮政储蓄银行有限责任公司长沙市营盘东路支行",""
"403551001608	","中国邮政储蓄银行有限责任公司浏阳市永安镇支行",""
"403615400401	","中国邮政储蓄银行股份有限公司武宣县太平路支行",""
"403618200376	","中国邮政储蓄银行有限责任公司全州县桂黄中路支行",""
"402901300075	","乌苏市农村信用合作联社西大沟信用社",""
"402901300180	","乌苏市农村信用合作联社长征路信用社",""
"402901400028	","新疆沙湾农村商业银行股份有限公司四道河子支行",""
"402901400237	","新疆沙湾农村商业银行股份有限公司商户地支行",""
"402901600239	","裕民县农村信用合作联社阿勒腾也木勒信用社",""
"403303000696	","中国邮政储蓄银行股份有限公司徐州市滨湖支行",""
"403303200016	","中国邮政储蓄银行股份有限公司沛县支行营业部",""
"403303400368	","中国邮政储蓄银行股份有限公司睢宁县支行",""
"403303500495	","中国邮政储蓄银行股份有限公司邳州市运河支行",""
"403304000338	","中国邮政储蓄银行股份有限公司常州市潘家支行",""
"403491013065	","中国邮政储蓄银行股份有限公司郑州市东明南路支行",""
"403491099983	","中国邮政储蓄银行股份有限公司郑州金水东路支行",""
"403521000292	","中国邮政储蓄银行有限责任公司武汉市分行",""
"403602001123	","中国邮政储蓄银行股份有限公司东莞市清溪支行",""
"403602099003	","中国邮政储蓄银行有限责任公司东莞分行（管理机构）",""
"403603000003	","中国邮政储蓄银行股份有限公司中山市分行营业部",""
"402885200171	","新疆天山农村商业银行股份有限公司古牧地中路支行",""
"402885300124	","呼图壁县农村信用合作联社小土古里信用社",""
"402885300237	","呼图壁县农村信用合作联社芳草湖天星信用社",""
"402885400192	","玛纳斯县农村信用合作联社下桥子信用社",""
"402885500020	","奇台县农村信用合作联社西北湾信用社",""
"403100005395	","中国邮政储蓄银行股份有限公司北京密云县密东广场支行",""
"403100090025	","中国邮政储蓄银行股份有限公司北京西区支行（不对外营业）",""
"403100090050	","中国邮政储蓄银行股份有限公司北京大兴区支行（不对外营业）",""
"403100090156	","中国邮政储蓄银行股份有限公司北京分行直属支行（不对外营业）",""
"403124000121	","中国邮政储蓄银行有限责任公司唐山市丰润区新城道支行",""
"403331070018	","中国邮政储蓄银行股份有限公司桐庐县支行",""
"403332000271	","中国邮政储蓄银行股份有限公司宁波市鄞州区五乡支行",""
"403332010076	","中国邮政储蓄银行股份有限公司宁波镇海区骆驼支行",""
"403332100012	","中国邮政储蓄银行股份有限公司象山县支行",""
"403332400074	","中国邮政储蓄银行股份有限公司余姚市世南东路支行",""
"403531002101	","中国邮政储蓄银行有限责任公司鄂州市文松支行",""
"403531100010	","中国邮政储蓄银行有限责任公司湖北省神农架林区支行",""
